,Web ID,Region of Incident,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Location Coordinates,Migration Route,URL,UNSD Geographical Grouping,Source Quality
0,52491,Mediterranean,14-Oct-19,2019,Oct,2.0,,2,33.0,,,2.0,Drowning,"Off the coast of Alt?nova, Ayval?k, Bal?kesir province, Turkey","IOM Turkey, Turkish Coast Guard","39.207629332807, 26.683134343416",Eastern Mediterranean,"http://bit.ly/2IM85We, http://bit.ly/2IMOxAY, http://bit.ly/2oDGHmo",Uncategorized,5
1,52496,Europe,14-Oct-19,2019,Oct,2.0,,2,,,2.0,1.0,Drowning,"Bodies recovered on Le Touquet, Pas-de-Calais, France","Franceinfo, Le Monde","50.524419783820, 1.556037455696",,"http://bit.ly/2pm5ZW8, http://bit.ly/32kxFt6",Western Europe,3
2,52495,Central America,12-Oct-19,2019,Oct,1.0,,1,,,1.0,,Drowning,"Río Bravo, near La Playita, Reynosa, Tamaulipas, Mexico","El Mañana, Milenio","26.144549816768, -98.332108082516",,"http://bit.ly/35tCuCp, http://bit.ly/2piU7V7",Central America,3
3,52494,Central America,11-Oct-19,2019,Oct,3.0,,3,8.0,,3.0,,Drowning,"Off the coast of Tonalá, between Puerto Arista and Paredón, Chiapas, Mexico (Pacific Sea)","Instituto Nacional de Migración, El Universal, Al Jazeera, Debate","15.880321192613, -93.833002001726",,"http://bit.ly/2pmU6PG, http://bit.ly/2MeL8gy, http://bit.ly/2nNszGY, http://bit.ly/2MdZLkf",Central America,5
4,52489,Europe,9-Oct-19,2019,Oct,3.0,,3,12.0,,1.0,,Vehicle Accident,"Road near Areti, 40km northeast of Thessaloniki, Greece","IOM Greece, Ekathimerini","40.740769378941, 23.256371964803",,http://bit.ly/2VsDDpg,Southern Europe,4
5,52493,Africa,9-Oct-19,2019,Oct,1.0,,1,,,1.0,1.0,Vehicle Accident,"Road near Béni Ensar, Nador, Morocco, near border with Melilla",Association Marocaine des Droits Humains - Section Nador,"35.262748226875, -2.937650888372",,http://bit.ly/2OLElNe,Northern Africa,4
6,52492,Central America,8-Oct-19,2019,Oct,1.0,,1,,,1.0,,Vehicle Accident,"Train tracks near Calle Azteca Sur and Bulevar del Río Españita, San Luis de Potosí, Mexico",Pulso Diario de San Luis,"22.142526392848, -100.962295713920",,http://bit.ly/2BcWMlT,Central America,1
7,52483,Mediterranean,7-Oct-19,2019,Oct,13.0,15.0,28,22.0,13.0,,4.0,Drowning,Off the coast of Lampedusa - boat departed from Tunisia,IOM Italy,"35.210549549164, 12.180541076066",Central Mediterranean,"http://bit.ly/30SkUof, http://bit.ly/2IvbHf3, http://bit.ly/2p4cZXP",Uncategorized,4
8,52488,Central America,7-Oct-19,2019,Oct,1.0,,1,,,1.0,,Drowning,"Río Bravo, near colonia Carmen Serdán, Reynosa, Tamaulipas, Mexico",Hoy Tamaulipas,"26.103672229764, -98.287409076176",,http://bit.ly/2MrDr5r,Northern America,1
9,52482,Central America,6-Oct-19,2019,Oct,1.0,,1,,,1.0,,Drowning,"Río Bravo, near Matamoros, Tamaulipas, Mexico","Vox Pópuli, Minuto Uno Tamaulipas","25.900890221875, -97.525930965196",,"http://bit.ly/30QheDy, http://bit.ly/2Oypbe9",Central America,3
